doi_pref,name,coci_open,crossref_close,crossref_visibility,tot_dois,deposits_flag
"10.1086","[[University of Chicago Press (ID 200)]]",5476995,1942860,[[closed]],[["434757,11062"]],[["true,true"]]
"10.2210","nn",305,260,nn,nn,nn
"10.7328","nn",2,0,nn,nn,nn
"10.7330","nn",73,2,nn,nn,nn
"10.7332","nn",4,1,nn,nn,nn
"10.7333","nn",14,3,nn,nn,nn
"10.7336","nn",139,-7,nn,nn,nn
"10.7341","nn",102,5,nn,nn,nn
"10.7343","nn",35,2,nn,nn,nn
"10.7358","nn",128,14,nn,nn,nn
"10.7359","nn",0,0,nn,nn,nn
"10.7424","[[Elsevier BV (ID 78)]]",76,97,[[closed]],[["15073575,1663799"]],[["true,true"]]
"10.7435","nn",0,0,nn,nn,nn
"10.7436","nn",14,0,nn,nn,nn
"10.7437","nn",4,0,nn,nn,nn
"10.7438","nn",3,5,nn,nn,nn
"10.7439","nn",350,108,nn,nn,nn
"10.7440","nn",399,0,nn,nn,nn
"10.7441","nn",211,37,nn,nn,nn
"10.7442","nn",0,0,nn,nn,nn
"10.7443","nn",3,0,nn,nn,nn
"10.7444","nn",10,4,nn,nn,nn
"10.7445","nn",3,2,nn,nn,nn
"10.7446","nn",69,6,nn,nn,nn
"10.7447","nn",10,6,nn,nn,nn
"10.7448","nn",6567,874,nn,nn,nn
"10.3410","[[F1000 ( Faculty of 1000 Ltd) (ID 2560)]]",2006,594,[[open]],[["185094,27913"]],[["true,true"]]
"10.1051","[[EDP Sciences (ID 250)]]",1228280,385926,[[open]],[["211166,37325"]],[["true,true"]]
"10.1073","[[Proceedings of the National Academy of Sciences (ID 341)]]",5046601,3874616,[[open]],[["131812,8144"]],[["true,true"]]
"10.31096","nn",0,0,nn,nn,nn
"10.31097","nn",0,0,nn,nn,nn
"10.31098","nn",0,0,nn,nn,nn
"10.31100","nn",1,0,nn,nn,nn
"10.31101","nn",0,0,nn,nn,nn
"10.31102","[[Universitas Islam Madura (ID 16003)]]",0,0,[[open]],[["24,84"]],[["false,true"]]
"10.31104","nn",0,0,nn,nn,nn
"10.31106","nn",0,0,nn,nn,nn
"10.31107","nn",0,0,nn,nn,nn
"10.31108","nn",0,0,nn,nn,nn
"10.31109","nn",0,0,nn,nn,nn
"10.3111","[[Informa Healthcare (ID 3197)]]",6334,1527,[[limited]],[["30972,0"]],[["true,false"]]
"10.31110","nn",0,0,nn,nn,nn
"10.31112","nn",0,0,nn,nn,nn
"10.31113","nn",0,0,nn,nn,nn
"10.31115","nn",0,0,nn,nn,nn
"10.31116","nn",0,0,nn,nn,nn
"10.31117","nn",0,0,nn,nn,nn
